time,vehicle_type,spawn_lane,objective_direction,total_time,total_stop_time,min_vel,max_vel
2020-05-13T16:36:29.147Z,Car,Road East entry,2,6516,2484,0,40
2020-05-13T16:36:29.147Z,Car,Road North entry,1,4798,0,10,40
2020-05-13T16:36:29.147Z,Car,Road North entry,1,3539,0,10,40
2020-05-13T16:36:29.147Z,Car,Road East entry,3,3072,0,10,40
2020-05-13T16:36:29.147Z,Car,Road West entry,1,2597,0,19,40
2020-05-13T16:36:29.147Z,Car,Road East entry,2,6535,665,0,40
2020-05-13T16:36:29.147Z,Car,Road South entry,1,2592,0,19,40
2020-05-13T16:36:29.147Z,Car,Road North entry,3,4268,1016,0,40
2020-05-13T16:36:29.147Z,Car,Road West entry,3,4868,1613,0,40
2020-05-13T16:36:29.147Z,Car,Road East entry,3,6906,3827,0,40
2020-05-13T16:36:29.147Z,Car,Road East entry,3,2528,0,15,40
2020-05-13T16:36:29.147Z,Car,Road West entry,3,2534,0,15,40
2020-05-13T16:36:29.147Z,Car,Road East entry,3,2529,0,15,40
2020-05-13T16:36:29.147Z,Car,Road East entry,2,4951,220,0,40
2020-05-13T16:36:29.147Z,Car,Road West entry,2,3802,0,5,40
2020-05-13T16:36:29.147Z,Car,Road South entry,3,5706,2483,0,40
2020-05-13T16:36:29.147Z,Bus,Road North entry,3,5808,836,0,30
2020-05-13T16:36:29.147Z,Car,Road South entry,3,5240,2017,0,40
2020-05-13T16:36:29.147Z,Car,Road North entry,1,3885,0,10,40
2020-05-13T16:36:29.147Z,Car,Road North entry,1,2574,0,21,40
2020-05-13T16:36:29.147Z,Car,Road North entry,3,2558,0,14,40
2020-05-13T16:36:29.147Z,Car,Road South entry,2,4146,955,0,40
2020-05-13T16:36:29.147Z,Car,Road West entry,3,7257,4505,0,40
2020-05-13T16:36:29.147Z,Car,Road West entry,1,6685,1812,0,40
2020-05-13T16:36:29.147Z,Car,Road East entry,1,6928,2855,0,40
2020-05-13T16:36:29.147Z,Car,Road East entry,1,5652,746,0,40
2020-05-13T16:36:29.147Z,Car,Road West entry,1,6510,1424,0,40
2020-05-13T16:36:29.147Z,Bus,Road East entry,1,6978,1314,0,30
2020-05-13T16:36:29.147Z,Car,Road East entry,2,4995,0,9,40
2020-05-13T16:36:29.147Z,Bus,Road West entry,3,3269,0,14,30
2020-05-13T16:36:29.147Z,Car,Road East entry,2,3759,0,9,40
2020-05-13T16:36:29.147Z,Car,Road South entry,3,2938,0,10,40
2020-05-13T16:36:29.147Z,Car,Road North entry,1,5835,696,0,40
2020-05-13T16:36:29.147Z,Car,Road South entry,2,6473,1352,0,40
2020-05-13T16:36:29.147Z,Bus,Road East entry,3,5064,102,0,30
2020-05-13T16:36:29.147Z,Bus,Road West entry,1,4849,0,10,30
2020-05-13T16:36:29.147Z,Car,Road East entry,2,7486,1940,0,40
2020-05-13T16:36:29.147Z,Bus,Road East entry,2,5307,1306,0,30
2020-05-13T16:36:29.147Z,Car,Road North entry,3,5550,2298,0,40
2020-05-13T16:36:29.147Z,Car,Road South entry,3,3508,284,0,40
2020-05-13T16:36:29.147Z,Car,Road East entry,2,5240,1518,0,40
2020-05-13T16:36:29.147Z,Car,Road South entry,3,2965,0,7,40
2020-05-13T16:36:29.147Z,Car,Road West entry,2,4815,1714,0,40
2020-05-13T16:36:29.147Z,Car,Road South entry,2,8649,4531,0,40
2020-05-13T16:36:29.147Z,Bus,Road South entry,2,4951,849,0,30
2020-05-13T16:36:29.147Z,Car,Road North entry,2,4277,1023,0,40
2020-05-13T16:36:29.147Z,Car,Road West entry,1,7377,4411,0,40
2020-05-13T16:36:29.147Z,Car,Road West entry,3,2762,0,10,40
2020-05-13T16:36:29.147Z,Car,Road East entry,3,2529,0,15,40
2020-05-13T16:36:29.147Z,Car,Road East entry,2,9539,5905,0,40
2020-05-13T16:36:29.147Z,Car,Road East entry,1,9081,5327,0,40
2020-05-13T16:36:29.147Z,Car,Road West entry,3,2537,0,15,40
2020-05-13T16:36:29.147Z,Car,Road East entry,1,7668,2772,0,40
2020-05-13T16:36:29.147Z,Car,Road West entry,2,8700,4062,0,40
2020-05-13T16:36:29.147Z,Car,Road West entry,1,8512,2909,0,40
2020-05-13T16:36:29.147Z,Car,Road West entry,1,7955,2518,0,40
2020-05-13T16:36:29.147Z,Car,Road East entry,2,7913,3444,0,40
2020-05-13T16:36:29.147Z,Car,Road South entry,3,5412,2186,0,40
2020-05-13T16:36:29.147Z,Car,Road South entry,3,3423,277,0,40
2020-05-13T16:36:29.147Z,Car,Road North entry,1,6887,2683,0,40
2020-05-13T16:36:29.147Z,Car,Road South entry,1,7489,4470,0,40
2020-05-13T16:36:29.147Z,Car,Road North entry,2,7467,1650,0,40
